sentence,emotion
Politikversagen – und was dem Klima wirklich hilft,Überraschung
Das EU-Datenschutzgesetz spiegelt eine Scheinsicherheit,Ärger
Das EU-Datenschutzgesetz spiegelt eine Scheinsicherheit,Angst
Jerusalemer Kirchenstreit: Israel legt umstrittene Pläne auf Eis,Überraschung
Jerusalemer Kirchenstreit: Israel legt umstrittene Pläne auf Eis,Ärger
Google hat nun 7 Chat-Apps im Angebot,Antizipation
Google hat nun 7 Chat-Apps im Angebot,Freude
"Grossbritannien zeigt, wie ein Mindestlohn funktioniert – aber Wahlversprechen bedrohen den Erfolg",Unklar
Mehr Frauen werden in Schweizer Geschäftsleitungen berufen,Freude
Mehr Frauen werden in Schweizer Geschäftsleitungen berufen,Vertrauen
Kirchliche Hilfswerke bleiben politisch,Vertrauen
Rassismus im Sport - Ein grosses Tabuthema,Ärger
Rassismus im Sport - Ein grosses Tabuthema,Traurigkeit
Google zahlt Milliarden für Suche im iPhone-Browser,Überraschung
Kanada wagt das Cannabis-Experiment,Überraschung
Kanada wagt das Cannabis-Experiment,Freude
Kanada wagt das Cannabis-Experiment,Vertrauen
"Die Kirche kann gar nicht anders, als sich in die Politik einzumischen",Antizipation
Weniger Zigi-Werbung und Verkaufsverbot an Minderjährige,Überraschung
Weniger Zigi-Werbung und Verkaufsverbot an Minderjährige,Antizipation
Zürich führt Datenbank mit 5843 Prostituierten,Überraschung
Zürich führt Datenbank mit 5843 Prostituierten,Antizipation
Zürich führt Datenbank mit 5843 Prostituierten,Vertrauen
Hoffnungsfroher Ausblick auf eine Zukunft im Zeichen der künstlichen Intelligenz,Antizipation
Hoffnungsfroher Ausblick auf eine Zukunft im Zeichen der künstlichen Intelligenz,Freude
Wahlkampf ohne Zukunft,Ärger
Wahlkampf ohne Zukunft,Antizipation
Wahlkampf ohne Zukunft,Traurigkeit
Schweiz ist bei erneuerbaren Energien und Energieeffizienz auf Kurs,Antizipation
Jetzt auch Dürre im Portemonnaie?,Überraschung
Jetzt auch Dürre im Portemonnaie?,Antizipation
Stehen China und die USA vor einem bewaffneten Konflikt?,Überraschung
Stehen China und die USA vor einem bewaffneten Konflikt?,Antizipation
Die Schweiz wird über das Burkaverbot abstimmen,Überraschung
Die Schweiz wird über das Burkaverbot abstimmen,Antizipation
Dashcams und Drohnen: Selbstjustiz ist kein Mittel,Antizipation
Dashcams und Drohnen: Selbstjustiz ist kein Mittel,Vertrauen
Atemlos in den Ständerat?,Überraschung
Atemlos in den Ständerat?,Freude
Google verbessert Kontrolle über gespeicherte Daten bei Web-Suche,Freude
Junge sorgen sich um ihre AHV-Rente,Überraschung
104-Jähriger kommt für Sterbehilfe in die Schweiz,Vertrauen
Schicksalstag für Reform der Altersvorsorge,Antizipation
Schicksalstag für Reform der Altersvorsorge,Vertrauen
Das bilaterale Tauwetter dauert an,Ärger
Das bilaterale Tauwetter dauert an,Antizipation
Zuwanderer gehen oft rasch in die Heimat zurück,Überraschung
Zuwanderer gehen oft rasch in die Heimat zurück,Antizipation
"Es fehlen 1,7 Milliarden Dollar",Traurigkeit
Google macht unsere Handys smarter,Überraschung
Google macht unsere Handys smarter,Freude
"Ein WC für Frau, Mann und Batman",Antizipation
"Ein WC für Frau, Mann und Batman",Freude
Schweizer Datenschützer fordern mehr Mittel für Datenschutz,Antizipation
Ein Schweizer ist mittendrin,Überraschung
Ein Schweizer ist mittendrin,Freude
Härtere Strafen für Belästigung und Kinderschänder in Frankreich,Ärger
Härtere Strafen für Belästigung und Kinderschänder in Frankreich,Angst
Uno-Migrationspakt: Wenn Bürokraten träumen,Ärger
Uno-Migrationspakt: Wenn Bürokraten träumen,Antizipation
Vegi-Boom hat Fleisch am Knochen,Antizipation
Vegi-Boom hat Fleisch am Knochen,Freude
Noch nie so viel CO2 in der Atmosphäre,Traurigkeit
Noch nie so viel CO2 in der Atmosphäre,Angst
«Die SVP war zu stark von ‹Top 5› beeinflusst» – Parteistrategen analysieren das schlechte Wahlresultat,Überraschung
«Die SVP war zu stark von ‹Top 5› beeinflusst» – Parteistrategen analysieren das schlechte Wahlresultat,Ärger
Bundesrat will Programm für Kinderbetreuungsplätze nicht verlängern,Überraschung
Bundesrat will Programm für Kinderbetreuungsplätze nicht verlängern,Antizipation
Rentenalter frühestens in 13 Jahren erhöht,Ärger
Bundesrat hält nichts von Asylzentren ausserhalb Europas,Angst
«Ein grosses Herz»: Politik und Kirche würdigen Obdachlosen-Pfarrer,Traurigkeit
«Ein grosses Herz»: Politik und Kirche würdigen Obdachlosen-Pfarrer,Vertrauen
"Auch die EZB setzt neu auf die Gesichtserkennung, doch die Technologie bleibt zu Recht umstritten",Überraschung
"Auch die EZB setzt neu auf die Gesichtserkennung, doch die Technologie bleibt zu Recht umstritten",Freude
"Auch die EZB setzt neu auf die Gesichtserkennung, doch die Technologie bleibt zu Recht umstritten",Vertrauen
Schule ist so stark vereinheitlicht wie nie zuvor,Überraschung
Schule ist so stark vereinheitlicht wie nie zuvor,Vertrauen
Polinnen streiken gegen Abtreibungs-Verbot,Ärger
Polinnen streiken gegen Abtreibungs-Verbot,Vertrauen
Verkürzte Veränderung,Überraschung
Verkürzte Veränderung,Antizipation
Diese nicht veganen Zusatzstoffe muss man kennen,Überraschung
"«Peking macht in Xinjiang alles richtig», sagen Chinas Anhänger im Uno-Menschenrechtsrat",Überraschung
"«Peking macht in Xinjiang alles richtig», sagen Chinas Anhänger im Uno-Menschenrechtsrat",Traurigkeit
Cannabis ab Mitte Oktober in Kanada legal,Freude
Prostitution kennt keine Grenzen,Ärger
Hooligans töten 19-jähriges Talent des eigenen Klubs,Überraschung
Hooligans töten 19-jähriges Talent des eigenen Klubs,Traurigkeit
Die FDP-Basis will in der Klimapolitik auch staatliche Eingriffe – trotz Bekenntnis zur Eigenverantwortung,Überraschung
Nach 1945 steht die Schweiz vor einer heiklen Frage: Wie weiter mit Deutschland?,Ärger
Nach 1945 steht die Schweiz vor einer heiklen Frage: Wie weiter mit Deutschland?,Antizipation
Wenn die Hölle auf Erden losbricht,Überraschung
Wenn die Hölle auf Erden losbricht,Freude
Uni Lugano bietet Masterstudiengang in Künstlicher Intelligenz an,Überraschung
Uni Lugano bietet Masterstudiengang in Künstlicher Intelligenz an,Freude
Die 99-Prozent-Initiative: Der Zweck heiligt nicht jedes Mittel,Überraschung
"Die Zahlen papierloser Zuwanderer in die USA sind auf einem Zehnjahres-Hoch. Trumps Mauer verhindert, die Krise in den Griff zu bekommen",Antizipation
"Die Zahlen papierloser Zuwanderer in die USA sind auf einem Zehnjahres-Hoch. Trumps Mauer verhindert, die Krise in den Griff zu bekommen",Traurigkeit
Self-Checkout hat bittere Folgen für Kassiererinnen,Ärger
Self-Checkout hat bittere Folgen für Kassiererinnen,Antizipation
Finanzdirektoren unterstützen die Steuervorlage 2017,Überraschung
Finanzdirektoren unterstützen die Steuervorlage 2017,Antizipation
Finanzdirektoren unterstützen die Steuervorlage 2017,Vertrauen
Ein Tag in meinem Leben. Erzählt von der Google-Datenspur.,Überraschung
"Du Opfer, du!",Unklar
Grippe-Mittel sind aufgebraucht,Unklar
Wie man sich der Beobachtung durch Google entziehen kann,Überraschung
Wie man sich der Beobachtung durch Google entziehen kann,Ärger
Fahrer automatisierter Fahrzeuge müssen mit Rechtsunsicherheit leben,Antizipation
Wer hat Angst vor der künstlichen Intelligenz?,Antizipation
Wer hat Angst vor der künstlichen Intelligenz?,Vertrauen
Abgeordnete beschliessen verschärftes Abtreibungsrecht,Antizipation
UNO ruft für den Jemen den humanitären Notstand aus,Traurigkeit
Deutschland stellt geschäftsmässige Sterbehilfe unter Strafe,Unklar
Darum wird das iPhone X immer besser,Freude
Bis spätabends ins kühle Nass: Weshalb die SP Zürich längere Badi-Öffnungszeiten fordert,Antizipation
Bis spätabends ins kühle Nass: Weshalb die SP Zürich längere Badi-Öffnungszeiten fordert,Freude
Die EU-Flüchtlingshilfe an die Türkei ist zu wenig effizient,Traurigkeit
"Wer Steuern zahlt, soll mitbestimmen können",Vertrauen
«Ich habe schon ein Coci extra nicht gescannt»,Unklar
Geringere Schäden und weniger Opfer,Keine
WWF mahnt Universitäten zu mehr Nachhaltigkeit,Antizipation
Grossaufmarsch der smarten Speaker,Antizipation
"Europa darf nur Risiken eingehen, die dem Frieden dienen",Antizipation
"Europa darf nur Risiken eingehen, die dem Frieden dienen",Vertrauen
Weinbaufreunde und Gemeinderat haben das Nachsehen: warum der Rebberg Fluntern in Zürich wohl endgültig begraben ist,Überraschung
Weinbaufreunde und Gemeinderat haben das Nachsehen: warum der Rebberg Fluntern in Zürich wohl endgültig begraben ist,Antizipation
Unter Ursula von der Leyen muss die EU sich erneuern – kann sie das Korsett der nationalen Parteien sprengen?,Antizipation
Ständerat will mehr Geld für Nachwuchs-Leistungssport,Antizipation
EU-Staaten unterstützen Verbot von bestimmtem Einweg-Plastik,Antizipation
Ein neuer Impfstoff-Skandal versetzt in China Konsumenten und Behörden in Aufruhr,Ekel
Ein neuer Impfstoff-Skandal versetzt in China Konsumenten und Behörden in Aufruhr,Traurigkeit
AHV-Reform belastet vor allem die Jungen,Antizipation
AHV-Reform belastet vor allem die Jungen,Traurigkeit
Wie viele Schritte habe ich schon gemacht?,Antizipation
Kantonsrat schiesst Jagd-Initiative ab,Antizipation
Das war Blochers Geschoss,Antizipation
«In zehn Jahren haben wir einen muslimischen Feiertag im Kalender»,Unklar
«Datenschutz wird zum Täterschutz!»,Ärger
Lohnerhöhung für Putzfrauen und Kindermädchen umstritten,Antizipation
Die neue Online-Kampagne der CVP schlägt ein wie eine Bombe,Unklar
ETH-Ratspräsident fordert Ausnahme von Kontingentssystem,Unklar
Verschlafen die Banken die Digitalisierung?,Überraschung
Das Dublin-Konzept geht nicht auf,Überraschung
Liberalismus ist auch eine Charakterfrage,Unklar
"Digitalisierung ist kein Wahlthema, hier wären aber Kompetenzen gefragt",Überraschung
"Digitalisierung ist kein Wahlthema, hier wären aber Kompetenzen gefragt",Antizipation
Demonstration für und gegen Islam vor Moschee in US-Stadt Phoenix,Traurigkeit
Demonstration für und gegen Islam vor Moschee in US-Stadt Phoenix,Angst
Frustrierte Hotelkette wirft Influencer raus,Ärger
Mariah Careys Schwester wegen Prostitution verhaftet,Traurigkeit
Sind wir bald alle Studierte?,Überraschung
Nachholbedarf beim Datenschutz,Antizipation
Reiche müssen nicht mehr Steuern zahlen,Überraschung
Obama attestiert USA Fortschritte im Kampf gegen Rassismus,Freude
Glückspilz sahnt dank Steuer-Rückzahlung im Casino ab,Freude
Angestellte von Lidl Schweiz erhalten 100 Franken mehr Mindestlohn,Freude
Staatsanwalt fordert lebenslange Verwahrung für Vierfachmord von Rupperswil,Antizipation
Wütende Fussgänger-Verbände und fehlende Gesetze – weshalb die Post in Zürich mit autonomen Lieferrobotern aufgelaufen ist,Antizipation
Bringt Ivanka die Schweizer Lehre in die USA?,Freude
Im Europaparlament Einigkeit über Ausbau des Grenzschutzes,Ärger
Im Europaparlament Einigkeit über Ausbau des Grenzschutzes,Antizipation
Smartphones füllen Huawei die Kasse,Freude
Rivalisierende Influencer provozieren am Berliner Alexanderplatz eine Massenschlägerei,Unklar
Das müssen Sie über die Endlager-Frage wissen,Unklar
Migrationspolitik des guten Mutes,Überraschung
Uns gehen die Impfstoffe aus!,Angst
US-Regierung zieht sich aus Uno-Menschenrechtsrat zurück,Überraschung
US-Regierung zieht sich aus Uno-Menschenrechtsrat zurück,Traurigkeit
Der Ex-Hippie arbeitet jetzt fürs Pentagon,Überraschung
Der Ex-Hippie arbeitet jetzt fürs Pentagon,Antizipation
UNO-Ausschuss fordert von Deutschland mehr Einsatz gegen Rassismus,Unklar
Digitalisierung und Schule: Es braucht pragmatische Antworten statt Visionen,Antizipation
Digitalisierung und Schule: Es braucht pragmatische Antworten statt Visionen,Vertrauen
«Sie taten schlicht und einfach ihren Job»,Ärger
Tausende Abtreibungsgegner gehen in Spanien auf die Strasse,Antizipation
Bei der Kinderbetreuung schlägt ihr Herz ganz weit links,Antizipation
«Inszenierte Anschläge wären perfekter»,Unklar
Venezuelas Regierung hebt Mindestlohn an,Traurigkeit
Ein Ende der Dürre ist nicht absehbar,Antizipation
Ein Ende der Dürre ist nicht absehbar,Traurigkeit
Sind Doping-Tests bei Olympia manipulierbar?,Überraschung
Sind Doping-Tests bei Olympia manipulierbar?,Antizipation
Kein Ausweg aus der Mami-Sackgasse,Traurigkeit
Wie der Bundesrat die berufliche Vorsorge stabilisieren will,Unklar
Warum ist Atommüll so gefährlich?,Antizipation
Warum ist Atommüll so gefährlich?,Angst
«Sie können ungestraft töten»,Überraschung
«Sie können ungestraft töten»,Antizipation
Ambivalente Transparenz im Hochschulsponsoring,Antizipation
Ambivalente Transparenz im Hochschulsponsoring,Vertrauen
Geldspielgesetz kommt wohl vors Volk,Antizipation
Geldspielgesetz kommt wohl vors Volk,Vertrauen
Sogar Frauen sind für Rentenalter 65,Antizipation
Frauen sind offenbar bessere Autofahrende als Männer,Überraschung
Die Zuwanderung in die Schweiz geht markant zurück,Überraschung
Durchbruch bei der Reform der Pensionskassen – aber die Wirtschaft ist gespalten,Überraschung
Auch die Schweiz steht am Pranger,Unklar
Google setzt auf Videospiele,Unklar
Ehe für alle: ein Gebot säkularen Rechts?,Antizipation
"Die SVP röchelt nicht, sie holt gerade tief Luft",Antizipation
Amerikas Austritt aus dem Menschenrechtsrat ist ein Weckruf für die Uno,Traurigkeit
Stimmt der Ständerat einem griffigen Klimaschutz zu? Und wie geht es dann weiter? Die wichtigsten Fragen zum CO2-Gesetz,Unklar
Nationalrat will Finanzierung von Kita-Plätzen verlängern,Unklar
Trumps Mexiko-Mauer im Fakten-Check,Überraschung
Google-Mitarbeitende gehen weltweit in den Protest,Antizipation
Experiment zum Grundeinkommen in Zürcher Gemeinde scheitert,Antizipation
Team Trek: Ein Dopingfall und viele Fragen,Unklar
Vier alte Männer bodigen den Vaterschaftsurlaub,Antizipation
Vier alte Männer bodigen den Vaterschaftsurlaub,Traurigkeit
Die obersten 5 Prozent zahlen zwei Drittel der direkten Bundessteuer,Antizipation
Das Silicon Valley und seine Sprösslinge: Vom Ende der Euphorie und vom Beginn des Unbehagens,Überraschung
Das Silicon Valley und seine Sprösslinge: Vom Ende der Euphorie und vom Beginn des Unbehagens,Antizipation
Entweihte Kirchen: vom Gotteshaus zum Konsumtempel?,Überraschung
Lasst uns unsere Geheimnisse!,Angst
EU-Strafzölle für Stahlindustrie,Antizipation
Nationalratskommission will Ehe für alle schrittweise regeln,Antizipation
EU fordert zur Grippe-Impfung auf,Überraschung
EU fordert zur Grippe-Impfung auf,Traurigkeit
Dieses Jahr keine höheren Billettpreise im ÖV?,Antizipation
Trauerzug in Lausanne für bei Polizeieinsatz getöteten Kongolesen,Antizipation
Film- und Medienförderung: «Es geht nicht um eine Sonderstellung»,Unklar
«Dank des WEF werden Emissionen eingespart»,Vertrauen
Papst verlängert Erlaubnis zur Vergebung der Abtreibung,Unklar
«Ein Roboter kann einen Metzger nie ersetzen»,Vertrauen
"",Antizipation
"",Vertrauen
Staatlich anerkannter Islam,Antizipation
Staatlich anerkannter Islam,Freude
Wahnwitzige Werbewelt,Antizipation
Die künstliche Intelligenz gehört ans Kreuz genagelt,Antizipation
Eine Wende zur Vernunft in der deutschen Energiewende?,Antizipation
Mehr Freiheit bei kantonalen Wahlen,Vertrauen
Die Schuldenbremse in Deutschland einmotten? Dann brächen bei den Sozialausgaben die Dämme,Antizipation
Die Schweiz ist eine Umwelt-Musterschülerin – aber nur auf den ersten Blick,Antizipation
Es tut sich mehr denn je hinter den Zürcher Theken,Freude
Republikanische Präsidentschaftsanwärter gegen höheren Mindestlohn,Unklar
Verwahrte kommen in der Schweiz selten wieder frei,Antizipation
Brauchts 15'000 US-Soldaten gegen Latino-Flüchtlinge?,Antizipation
Brauchts 15'000 US-Soldaten gegen Latino-Flüchtlinge?,Traurigkeit
Crash mit Ref härter bestraft als Arm-Bruch,Überraschung
"Negativzinsen sind problematisch, aber die SNB kann sie jetzt nicht einfach aufheben",Antizipation
"",Antizipation
"Mehr Nacht-S-Bahnen, mehr Verkaufsschalter: Der Kantonsrat diskutiert über den öffentlichen Verkehr",Antizipation
16 Milliarden Franken Steuern für die AHV,Überraschung
16 Milliarden Franken Steuern für die AHV,Antizipation
Eigenes Landesspital oder regionale Kooperation?,Überraschung
Eigenes Landesspital oder regionale Kooperation?,Antizipation
560 Euro vom Staat - Finnland testet bedingungsloses Grundeinkommen,Antizipation
560 Euro vom Staat - Finnland testet bedingungsloses Grundeinkommen,Vertrauen
Humanitäre Hilflosigkeit,Antizipation
Humanitäre Hilflosigkeit,Vertrauen
Mit viel Blau gegen höhere Studiengebühren an der ETH,Überraschung
Humanitäres Völkerrecht besser respektieren,Traurigkeit
Weniger Telefonüberwachungen im vergangenen Jahr,Antizipation
ÖV-Mitarbeiter müssen künftig Gratis-GA versteuern,Keine
ÖV-Mitarbeiter müssen künftig Gratis-GA versteuern,Antizipation
Teures Warten auf Perfektion,Antizipation
Wie die US-Stadt Portland auf kreative Weise das Obdachenlosenproblem lösen will,Freude
Der Schatten des Brexit lastet über der Schweiz,Überraschung
Der Schatten des Brexit lastet über der Schweiz,Antizipation
"Schweizer Gymnasien: Besser machen, was gut ist",Antizipation
"Schweizer Gymnasien: Besser machen, was gut ist",Vertrauen
Einigung im deutschen Kita-Tarifkonflikt erzielt,Freude
Herausforderung für die Bildung: Digitalisierung und Migration,Unklar
Wie intelligent ist künstliche Intelligenz?,Antizipation
Allen Protesten zum Trotz: Die ETH erhöht die Studiengebühren,Unklar
"Äpfel, Socken und scharfe Klingen",Überraschung
Autonome Elektrotaxis wären umweltfreundlich,Freude
Facebook plant weitere Einschränkungen für Polit-Werbung,Unklar
Doping: Der Traum vom Adonis-Körper genügt als Motiv,Überraschung
Doping: Der Traum vom Adonis-Körper genügt als Motiv,Vertrauen
Betreuungsangebote für Kinder sollen billiger und besser werden,Vertrauen
Wo Verschwörungstheorien entscheidend sind für Trumps Erfolg,Ekel
Für Bündner Jäger gilt ab nächstes Jahr Promillegrenze,Antizipation
Mindestens 28 Tote bei Kämpfen in mexikanischem Gefängnis,Traurigkeit
Auch Zürcher Google-Mitarbeiter protestieren,Antizipation
"Wer zu wenig Frauen hat, fliegt von der Börse",Unklar
Hormone sind schuld!,Traurigkeit
EU-Richter geben Brexit-Gegnern neue Munition,Antizipation
Sind Computer bald klüger als der Mensch?,Überraschung
Sind Computer bald klüger als der Mensch?,Angst
Die Schuldenbremse sei falsch ausgestaltet – ein Expertenvorschlag sorgt in einer heiklen Phase für Diskussionen,Antizipation
Die Schuldenbremse sei falsch ausgestaltet – ein Expertenvorschlag sorgt in einer heiklen Phase für Diskussionen,Vertrauen
US-Staat Maine legalisiert Marihuana-Konsum,Freude
Lasst euch nicht verrückt machen!,Antizipation
Lasst euch nicht verrückt machen!,Vertrauen
Warum die Schuldenbremse wichtig ist,Unklar
Fast am Ziel: Tausende Mittelamerikaner nähern sich den USA,Traurigkeit
Finnen führen bedingungsloses Grundeinkommen ein,Antizipation
Die Mindestlohn-Bewegung erhält in den USA neuen Schub,Antizipation
Coca Cola und viele Investoren setzen auf Cannabis,Überraschung
Coca Cola und viele Investoren setzen auf Cannabis,Antizipation
Der Bundesrat will Prostitution in der Schweiz nicht untersagen,Antizipation
Keine Vorzugsbehandlung für Autisten,Keine
Bundesrat Berset blockiert Cannabis-Politik der Städte,Unklar
Trump will jetzt eine durchsichtige Mauer,Überraschung
US-Präsidenten-Familie gibt Thanksgiving-Essen an Obdachlose aus,Vertrauen
Die Gleichstellung von Lesben und Schwulen könnte unerwünschte Folgen haben,Antizipation
Schon bald politische Werbung im Postauto,Antizipation
Der SVP-Fraktionspräsident auf Abwegen,Unklar
Warum Afrika und der Nahe Osten modernisiert statt entwickelt werden müssen,Überraschung
Geschäftsmodelle sollen humanitäre Hilfe nachhaltiger machen,Antizipation
Wegwerf-Plastiksäckli sollen verschwinden,Antizipation
Maschinen übernehmen die Macht,Antizipation
Trump besichtigt Mauer-Prototypen in Kalifornien,Antizipation
Nationalrat spricht 148 Mio. Franken für weltweiten Umweltschutz,Antizipation
Nationalrat spricht 148 Mio. Franken für weltweiten Umweltschutz,Vertrauen
Ein Fluss aus Plastik namens Rhein,Überraschung
Ein Fluss aus Plastik namens Rhein,Traurigkeit
National- und Ständerat heissen Kulturförderpolitik gut,Unklar
Religion ist nicht das Leben selbst,Antizipation
Religion ist nicht das Leben selbst,Angst
EU-Gericht ebnet Weg für Veto-Recht gegen Freihandelsabkommen,Überraschung
Frankreich will Kirchen besser schützen,Unklar
Ein Werbeverbot zum Schutz parkierender Frauen,Überraschung
Ein Werbeverbot zum Schutz parkierender Frauen,Antizipation
"Chemnitz und die Jagd, die keine war",Überraschung
"Chemnitz und die Jagd, die keine war",Antizipation
Stiefkind-Adoption ist bei Schwulen und Lesben gefragt,Antizipation
Rassismuskommission lanciert Kampagne gegen Hass im Internet,Antizipation
Rassismuskommission lanciert Kampagne gegen Hass im Internet,Traurigkeit
Gericht in Kenia stoppt Schliessung von grösstem Flüchtlingslager,Antizipation
Pfarrer warnen vor Steuerhölle,Antizipation
Pfarrer warnen vor Steuerhölle,Traurigkeit
Jungsozialisten gegen bedingungsloses Grundeinkommen,Antizipation
Weltwirtschaft wächst - aber CO2-Ausstoss bleibt stabil,Antizipation
Wie die Verschwörungstheorien um Jeffrey Epsteins Suizid entstanden sind,Ärger
Wie die Verschwörungstheorien um Jeffrey Epsteins Suizid entstanden sind,Antizipation
Wie die Verschwörungstheorien um Jeffrey Epsteins Suizid entstanden sind,Ekel
Ständeratskommission lehnt Burkaverbot ab,Antizipation
«Ohne Geld kein Gold!»,Vertrauen
Staatliche Anerkennung von Religionsgemeinschaften: ein Auslaufmodell?,Antizipation
Staatliche Anerkennung von Religionsgemeinschaften: ein Auslaufmodell?,Freude
Über 21 Millionen Vertriebene pro Jahr wegen Naturkatastrophen,Traurigkeit
Mit der Nagelschere im Dickicht der Subventionen,Ärger
Mit der Nagelschere im Dickicht der Subventionen,Antizipation
Skeptizismus im Verdacht,Ekel
Warum so viele Influencer werden wollen,Antizipation
Warum so viele Influencer werden wollen,Ekel
Migros Kulturprozent geht neue Wege in der Literaturförderung,Vertrauen
«Ehe für alle» wird richtig kompliziert,Antizipation
Die Schweiz ist weniger attraktiv für EU-Bürger,Antizipation
"1,12 Milliarden für Kultur",Unklar
Swiss Athletics unterstützt Antidoping mit 30 000 Franken,Antizipation
Grossbritannien will Einwanderung künftig straff kontrollieren,Antizipation
Wirtschaft droht den Kirchen,Unklar
Die Gentechnik wird immer exakter,Antizipation
Zeitungskommentaren sehen nun die SVP in der Pflicht,Vertrauen
«Man sollte der Natur nicht reinpfuschen»,Keine
Bessere Rahmenbedingungen für Spitzensport und Studium vereinbart,Antizipation
Dunkelhäutige wehren sich bei der Polizei,Unklar
Kein nahes Ende der Negativzinsen,Antizipation
Chinesen lassen Bitcoin abstürzen,Überraschung
Chinesen lassen Bitcoin abstürzen,Antizipation
China nimmt die Uno-Menschenrechtserklärung ins Visier,Antizipation
China nimmt die Uno-Menschenrechtserklärung ins Visier,Angst
Die gestörte Wahrnehmung zu Zuwanderung und Sozialstaat,Überraschung
Die gestörte Wahrnehmung zu Zuwanderung und Sozialstaat,Antizipation
Traumberuf: Hormone ausschütten,Überraschung
Huawei lanciert eine Offensive bei der künstlichen Intelligenz,Antizipation
Jetzt setzt auch die Politik auf Influencer,Antizipation
"Tun Sie endlich was, Herr Juncker!",Unklar
Ist der Autoroboter von Tesla eine Zeitbombe?,Überraschung
Ist der Autoroboter von Tesla eine Zeitbombe?,Antizipation
Politischer Prozentsatz,Unklar
"Weshalb sitzen manche Jugendliche stundenlang vor Computerspielen, statt sich um das reale Leben zu kümmern? Dafür gibt es drei Gründe",Angst
Humanitärer Helfer riskieren oft ihr Leben,Angst
Deutschland sagt Ja zur Homo-Ehe,Freude
Weil Roboter uns die Arbeit wegnehmen,Antizipation
Weil Roboter uns die Arbeit wegnehmen,Angst
Experten kritisieren fehlende China-Strategie des Bundes,Antizipation
Experten kritisieren fehlende China-Strategie des Bundes,Angst
Rentenalter 67 auf Sterbebett,Antizipation
«Das ist verboten!»,Ärger
Sozialkommission will Vaterschaftsurlaub einführen,Antizipation
«Es braucht kein Ladenschluss-Gesetz»,Ärger
"Gibt es einen Anspruch, gentechnisch unverändert geboren zu werden? – «Natürlichkeit» ist ein umstrittenes Menschenrecht",Antizipation
Weltpremiere: Uruguay startet Marihuana-Verkauf in Apotheken,Freude
Kirchen: Menschenrechte nicht kurzsichtiger Tagespolitik opfern,Unklar
Volksinitiative für ein kantonales Filmfördergesetz:  Begehren ohne zwingendes Drehbuch,Antizipation
15 Jahre Google Schweiz: Die Wunder von einst werden heute als selbstverständlich wahrgenommen,Unklar
20 Jahre Prostitutionsverbot in Schweden: Was hat das Gesetz gebracht?,Traurigkeit
Mehr als 1000 russische Athleten in Doping-Skandal verwickelt!,Ärger
Immer weniger Stimmberechtigte unterstützen Burkaverbot,Keine
Freie Fahrt für Schweizer Hooligans,Angst
Kantone sparen 381 Millionen Franken bei der Bildung,Traurigkeit
UNO-Nothilfegipfel will Versorgung in Krisengebieten verbessern,Traurigkeit
UNO-Nothilfegipfel will Versorgung in Krisengebieten verbessern,Vertrauen
Racial Profiling: «Es ist ein systematisches Problem innerhalb der Polizei»,Unklar
Frankreich will Gesichtserkennung einführen – weshalb sich das Land vor einer totalen Überwachung fürchtet,Antizipation
Frankreich will Gesichtserkennung einführen – weshalb sich das Land vor einer totalen Überwachung fürchtet,Angst
"Erster Test fällt positiv, aber nicht euphorisch aus",Antizipation
Die mächtigste SVP aller Zeiten bringt wenig zustande,Antizipation
Natürlich gezeugt,Antizipation
Detailhändler sollen Plastikmüll reduzieren,Unklar
Youtube aus dem Knast: Wie ein Häftling die Berliner Justiz narrt,Überraschung
Streik für 35-Stunden-Woche in Portugal,Überraschung
SVP-Präsident Brunner will mit Dreierticket in die Bundesratswahl,Keine
Nur zwei der SMI-Unternehmen erfüllen die Frauenquote bereits jetzt,Überraschung
Nur zwei der SMI-Unternehmen erfüllen die Frauenquote bereits jetzt,Antizipation
"Computer und künstliche Intelligenz machen Arbeit, viel Arbeit. Sie ist schlecht bezahlt – und das KI-Prekariat bleibt unsichtbar",Überraschung
"Computer und künstliche Intelligenz machen Arbeit, viel Arbeit. Sie ist schlecht bezahlt – und das KI-Prekariat bleibt unsichtbar",Angst
Verbraucher nehmen Influencern nicht alles ab,Überraschung
Der Rausch der sexuellen Macht weicht einem Kater,Ärger
Der Rausch der sexuellen Macht weicht einem Kater,Ekel
Der Rausch der sexuellen Macht weicht einem Kater,Traurigkeit
"Ist es die Natur des Menschen, die ihn zur Jagd treibt?",Ärger
Influencer – wenn Freunde schöne Sachen zeigen,Überraschung
Influencer – wenn Freunde schöne Sachen zeigen,Antizipation
So schlecht sind wir beim Naturschutz,Überraschung
So schlecht sind wir beim Naturschutz,Traurigkeit
Die Film- und Medienförderungs-Initiative auf einen Blick,Unklar
Zwischen Google und Uber herrscht Krieg,Unklar
Ist Thomas N. zu jung für die lebenslange Verwahrung?,Angst
«Buzz» Aldrin veröffenlicht Einfuhr-Formular für Mondstaub,Unklar
"«Wenn es so weitergeht, haben wir bald einmal einen Toten»",Angst
Nach Globegarden-Fall: Weshalb Bürgerliche genau das Gegenteil von strengeren Vorschriften in der externen Kinderbetreuung fordern,Antizipation
Kanada – eine Grossmacht im Cannabis-Geschäft,Unklar
Russische Anti-Doping-Agentur wird begnadigt,Überraschung
Russische Anti-Doping-Agentur wird begnadigt,Antizipation
WHO für stärkere Kontrolle der an Kinder gerichteten Online-Werbung,Angst
