sentence_de,emotion_de,emotion_en,sentence_en
«Die Initiative ist ärgerlich und unsinnig!»,Antizipation,enthusiasm,"""The initiative is annoying and nonsensical!"""
Jemen-Krieg lässt Benzin-Preis steigen,Angst,worry,Yemen War lets the gasoline price rise
«Es könnte zu einem Teufelskreis führen»,Antizipation,enthusiasm,"""It could lead to a vicious circle"""
Polio-Impfungen für mehr als 36 Millionen pakistanische Kinder,Freude,happiness,Polio vaccinations for more than 36 million Pakistani children
Weshalb der Verzicht auf die lebenslange Verwahrung des Mörders von Marie richtig ist,Traurigkeit,sadness,Which is why the waiver of the lifelong custody of Marie's murderer is correct
Immer mehr junge Frauen werden Malerin und erleben die Nachteile eines typischen Frauenberufs,Antizipation,enthusiasm,More and more young women are becoming a painter and experiencing the disadvantages of a typical women's profession
Beben in China: Endloses Warten auf Hilfe,Traurigkeit,sadness,Communion in China: Endless waiting for help
Das EU-Parlament unterstützt das Plastikgeschirr-Verbot,Vertrauen,love,The EU Parliament supports the plastic harness ban
Keine Plastiksäcke mehr im Jura,Antizipation,enthusiasm,No more plastic bags in the Jura
Online-Handel muss Käufer-Alter überprüfen,Vertrauen,love,Online trading must check buyer age
"Herr Doktor, ich habe Fieber – Grenzüberschreitungen von Frauen",Ärger,anger,"Doctor, I have a fever - crossing border from women"
Sieben Fäuste gegen die Unterdrückung,Vertrauen,love,Seven fists against oppression
Die Schuldenbremse sei falsch ausgestaltet – ein Expertenvorschlag sorgt in einer heiklen Phase für Diskussionen,Antizipation,enthusiasm,The debt brake is incorrectly designed - an expert proposal causes discussions in a delicate phase
Brunschwig Graf: Burkadebatte ist Vorwand für Angriff auf den Islam,Ärger,anger,Brunzwig Graf: BurkadeBatt is an excuse for attack on Islam
Aus der Burkaverbots- wird die Anti-Hooligan-Initiative,Antizipation,enthusiasm,The anti-hooligan initiative becomes the burqa prohibition
Frankreich will Gesichtserkennung einführen – weshalb sich das Land vor einer totalen Überwachung fürchtet,Antizipation,enthusiasm,France wants to introduce facial recognition - which is why the country is afraid of total surveillance
Wer rettet unsere Privatsphäre?,Angst,worry,Who saves our privacy?
Diese Sehnsucht nach dem Prüden,Ärger,anger,This longing for the prudish
Thür warnt vor Gesichtserkennungssoftware,Angst,worry,Thür warns of facial recognition software
Taxi uber Google bestellen,Antizipation,enthusiasm,Order Taxi Uber Google
Vier von fünf gut ausgebildeten Schweizern begrüssen Zuwanderung,Überraschung,surprise,Five out of five well -trained Swiss people welcome immigration
Schwere Doping-Vorwürfe gegen einen Schweizer Sportarzt – Hausdurchsuchung in Bern,Überraschung,surprise,Severe doping allegations against a Swiss sports doctor-house search in Bern
Braucht eine kleinere EU weniger Geld?,Antizipation,enthusiasm,Does a smaller EU need less money?
Fertig Sparschweiz!,Antizipation,enthusiasm,Ready to have a walom!
Warum Briten nicht in der Agglomeration wohnen,Überraschung,surprise,Why don't British live in agglomeration
Eine Reise in die Heimat des Atoms,Überraschung,surprise,A trip to the home of the atom
Droht Kahlschlag im Regionalverkehr?,Traurigkeit,sadness,Is it threatened with clearing in regional traffic?
Sieben Fäuste gegen die Unterdrückung,Freude,happiness,Seven fists against oppression
Rassismus im Sport - Ein grosses Tabuthema,Ärger,anger,Racism in sport - a big taboo subject
Entwickeln sich Bitcoin und Co. vom Spekulationsobjekt zur Anlageklasse?,Antizipation,enthusiasm,Do Bitcoin and Co. develop from the speculation object to the investment class?
"Vorsicht, Ideologiekritik! Wie die vermeintlich fortschrittlichen Filme der Oscar-Verleihung die Regression befeuern",Angst,worry,"Caution, criticism of ideology!How the supposedly progressive films of the Oscar ceremony fuel the regression"
Angst vor Populismus,Antizipation,enthusiasm,Fear of populism
"2,4 Milliarden Euro Busse an Google: Ein möglicher Präzedenzfall mit enormen Folgen",Überraschung,surprise,2.4 billion euros buses to Google: a possible precedent with enormous consequences
Experten kritisieren fehlende China-Strategie des Bundes,Antizipation,enthusiasm,Experts criticize the lack of a federal china strategy
Trump will die Grenze zu Mexiko militärisch schützen,Vertrauen,love,Trump wants to protect the border with Mexico militarily
Wie Angehörige bei Sterbehilfe leiden,Traurigkeit,sadness,How relatives suffer from euthanasia
Sterbehilfe oder Mord?,Traurigkeit,sadness,Euthanasia or murder?
SGB-Delegierte unterstützen Reform der Altersvorsorge,Antizipation,enthusiasm,SGB-delegates support reform of old-age provision
Wanner will länger arbeiten lassen,Angst,worry,Wanner wants to let work longer
Im südlichen Afrika geht die schlimmste Dürre seit 1981 zu Ende – aber jetzt droht eine Hungersnot,Traurigkeit,sadness,The worst drought has ended in southern Africa since 1981 - but now a famine is threatened
Bürgerliche befürworten Spezialtarif für ausländische ETH-Studenten,Überraschung,surprise,Bourse supports special tariff for foreign ETH students
Weltpremiere: Uruguay startet Marihuana-Verkauf in Apotheken,Freude,happiness,World premiere: Uruguay starts marijuana sales in pharmacies
Fast jede zweite Stadträtin scheidet unfreiwillig aus dem Amt,Unklar,neutral,Almost every second city councilor involuntarily leaves office
Präzedenzfall im Online-Bereich befürchtet,Überraschung,surprise,Precedent case in the online area feared
Der Hooliganismus ist eine Gefahr im toten Winkel,Angst,worry,Hooliganism is a danger in the corner of the corner
Sterbezimmer in Schweizer Gefängnissen,Antizipation,enthusiasm,Death room in Swiss prisons
Ab Herbst führt der Flughafen Zürich Gesichtserkennung ein,Antizipation,enthusiasm,"From autumn, Zurich Airport will introduce facial recognition"
"«Keine Nahrung mehr aufzunehmen, ist ein natürlicher Weg des Sterbens»",Traurigkeit,sadness,"""No more food can be recorded is a natural way of dying"""
Digitale Technik ist nie neutral,Angst,worry,Digital technology is never neutral
Expertengruppe rät von Lockerung der Schuldenbremse ab,Antizipation,enthusiasm,Expert group advises against loosening the debt brake
Die Kantonspolizei setzt vermehrt auf Prävention,Unklar,neutral,The cantonal police are increasingly relating to prevention
Darum gehts bei der #MeToo-Debatte,Antizipation,enthusiasm,That's why the #Metoo debate
Thurgau senkt Steuern stärker,Unklar,neutral,Thurgau lowers taxes
Schweizer konsumieren pro Jahr 60 Tonnen Cannabis – doch die Politik träumt weiter von einer drogenfreien Welt,Vertrauen,love,Swiss consume 60 tons of cannabis a year - but politics continues to dream of a drug -free world
Mütter sollen nicht mehr besser sein,Antizipation,enthusiasm,Mothers should no longer be better
Milieu-Anwalt liebäugelt mit SVP,Unklar,neutral,Milieu lawyer is flirting with SVP
«Er starb in meinen Armen»,Traurigkeit,sadness,"""He died in my arms"""
Wenn der Musterschüler beim Recycling schummelt,Überraschung,surprise,Wen the patterns of the patterns at the recycling
Die Schweiz sollte ihre Stimme einbringen,Antizipation,enthusiasm,Switzerland should bring in its voice
Die Zürcher SVP beklagt sich über den Freisinn,Traurigkeit,sadness,The Zurich SVP complains about the freeness
Eigenverantwortung allein kann die Klimaprobleme nicht lösen,Vertrauen,love,Self -responsibility alone cannot solve the climate problems
Google macht unsere Handys smarter,Überraschung,surprise,Google makes our cell phones Smarter
Adventskalender (20): Die Schlachthöfe inspirieren Henri Ford für die Autoproduktion,Unklar,neutral,Advent calendar (20): The slaughterhouses inspire Henri Ford for car production
Der Rausch der sexuellen Macht weicht einem Kater,Ekel,hate,The frenzy of sexual power gives way to a hangover
«Genmanipulation beim Menschen ist nicht unethisch»,Unklar,neutral,"""Genmanipulation in humans is not unethical"""
«Google kennt mich besser als meine Familie»,Angst,worry,"""Google knows me better than my family"""
Schule ist so stark vereinheitlicht wie nie zuvor,Überraschung,surprise,School is more standardized as ever before
Alte Arzneien finden eine neue Bestimmung,Vertrauen,love,Old medicines find a new destination
Zürichs Filmschaffen prescht vor,Traurigkeit,sadness,Zurich's filmmaking dashes before
Europarat warnt vor Verbot der Burka,Antizipation,enthusiasm,Council of Europe warns of the ban on burqa
"Christlicher Staat? Politik verträgt nur so viel Religion, wie der Ungläubige akzeptieren kann",Ärger,anger,Christian state?Politics tolerate only as much religion as the unbeliever can accept
Neues Adoptionsrecht unter Dach und Fach,Antizipation,enthusiasm,New adoption right under roof and subject
«In zehn Jahren haben wir einen muslimischen Feiertag im Kalender»,Unklar,neutral,"""In ten years we have a Muslim holiday in the calendar"""
Die EU droht mit Stillstand des Bilateralismus,Antizipation,enthusiasm,The EU threatens to stand up for bilateralism
«Beim Geldspielgesetz begehen wir den ersten Sündenfall»,Antizipation,enthusiasm,"""We are committed to the first sins in the Geschiels Act"""
"Google weiss heute, ob es morgen teurer wird",Antizipation,enthusiasm,Google knows today whether it will be more expensive tomorrow
Sind Computer bald klüger als der Mensch?,Angst,worry,Are computers soon smarter than humans?
Die Zukunft ist erneuerbar,Unklar,neutral,The future is renewable
Falsch verstandene Tierliebe,Ekel,hate,Misunderstood love of animals
Machtkämpfe im Radsport,Ekel,hate,Power struggles in cycling
Staat in Australien verschärft Gesetz gegen Gesichtsschleier,Antizipation,enthusiasm,State in Australia intensifies law against facial veils
25 Mio. Fr. jährlich für Polizei an Matches,Unklar,neutral,CHF 25 million annually for police on matches
"Die Raketenglace, der Dauerbrenner zur Mondlandung",Überraschung,surprise,"The rocket glace, the long -running favorite to the moon landing"
Die Angst vor dem Islam,Angst,worry,The fear of Islam
560 Euro vom Staat - Finnland testet bedingungsloses Grundeinkommen,Antizipation,enthusiasm,560 euros from the state - Finland tests unconditional basic income
Hoffnungsfroher Ausblick auf eine Zukunft im Zeichen der künstlichen Intelligenz,Antizipation,enthusiasm,Hopeful view of a future in the sign of artificial intelligence
Abtreibungen werden in Spanien erschwert,Antizipation,enthusiasm,Abortions are difficult in Spain
Papst mahnt Europäische Union zu Einheit und Solidarität,Vertrauen,love,Pope warns European Union to unity and solidarity
Für eine ökologische Zivilisation – warum wir die ökonomischen Gewissheiten der Industrialisierung und ihrer Massenkultur aufgeben müssen,Antizipation,enthusiasm,For ecological civilization - why we have to give up the economic certainties of industrialization and its mass culture
Testosteron könnte depressive Symptome lindern,Antizipation,enthusiasm,Testosterone could alleviate depressive symptoms
Kritik für geplantes Burkaverbot in Österreich,Ärger,anger,Criticism for the planned ban on burqa in Austria
Ständerat lehnt bedingungsloses Grundeinkommen ab,Antizipation,enthusiasm,Council of States rejects unconditional basic income
Japaner testen die 4-Tage-Woche,Vertrauen,love,Japanese test the 4-day week
Arme Länder müssen sich rasch auf Klimawandel vorbereiten,Angst,worry,Poor countries must quickly prepare for climate change
Italiens Populisten wollen am Sonntag die Läden schliessen,Traurigkeit,sadness,Italy's populists want to close the shops on Sunday
Die SVP hat sich doppelt verzockt!,Antizipation,enthusiasm,The SVP gambled twice!
Weinbaufreunde und Gemeinderat haben das Nachsehen: warum der Rebberg Fluntern in Zürich wohl endgültig begraben ist,Überraschung,surprise,Wine construction lovers and the municipal council have a look: Why the Rebberg Fluntern in Zurich is probably finally buried
Warum eine nationale Flugticketabgabe der Umwelt wenig bringt,Angst,worry,Why a national flight ticket tax does not bring much of the environment
Zwei Tote bei Streit zwischen Häftlingen in Griechenland,Traurigkeit,sadness,Two dead in dispute between prisoners in Greece
Die Deutschen und der Islam: Sie pendeln zwischen Verteufelung und Verherrlichung,Ärger,anger,The Germans and Islam: they commute between demonization and glorification
"Was stimmt am Vorwurf, dass westliche Konzerne die Ostmitteleuropäer ausbeuten?",Überraschung,surprise,What is true of the accusation that western corporations exploit the Eastern Central Europeans?
Mariah Careys Schwester wegen Prostitution verhaftet,Traurigkeit,sadness,Mariah Carey's sister arrested for prostitution
Huawei will mit Influencern die Nummer 1 werden,Freude,happiness,Huawei wants to be number 1 with influencers
Die neue Art der Verschwörungstheorie: Es zählt die krude Behauptung,Ärger,anger,The new type of conspiracy theory: the crude claim counts
Schuldenbremse contra Staatsfonds: Und ewig lockt das Schuldenmachen,Antizipation,enthusiasm,"Debt brake Contra State Fund: And forever, debt makes it attracted forever"
Hooligans kosten uns 30 Millionen!,Überraschung,surprise,Hooligans cost us 30 million!
"Chemnitz und die Jagd, die keine war",Antizipation,enthusiasm,Chemnitz and the hunt that was none
Alles anders – oder doch nicht,Antizipation,enthusiasm,Everything else - or not
Könnten die Verfassungsrichter die «Ehe für alle» zu Fall bringen?,Antizipation,enthusiasm,Could the constitutional judges bring the “marriage to everyone”?
Der 15-Dollar-Mindestlohn: so nah und doch so fern,Antizipation,enthusiasm,The $ 15 minimum wage: so close and yet so far
EU-Finanzminister beraten über Besteuerung von Internet-Konzernen,Antizipation,enthusiasm,EU Finance Minister advise on taxation of Internet companies
"Keine Rechnung, keine Subventionen!",Ärger,anger,"No bill, no subsidies!"
Skeptizismus im Verdacht,Ekel,hate,Skepticism in suspicion
Der Staatsanwalt kritisiert das Minelli-Urteil als zu einseitig,Antizipation,enthusiasm,The prosecutor criticizes the minelli judgment as too one-sided
Ein Schweizer ist mittendrin,Überraschung,surprise,A Swiss is right in the middle of it
"Eigenmietwertbesteuerung: unbeliebt, aber sinnvoll",Antizipation,enthusiasm,"Rental value taxation: unpopular, but sensible"
Eine Legislatur zum Vergessen für die SVP,Traurigkeit,sadness,A legislature to forget for the SVP
Uno-Generalsekretär in Afrika: Migration kann auch positiv wirken,Traurigkeit,sadness,UN General Secretary in Africa: Migration can also look positive
Achtköpfige Bande betrügt Krankenkasse um 3 Millionen,Unklar,neutral,Eight -headed gang cheats on health insurance by 3 million
«So stirbt man vor Langeweile»,Traurigkeit,sadness,"""So you die with boredom"""
Des Bischofs rechte Hand will die «Staatskirche» abschaffen – und verärgert viele Mitkatholiken,Überraschung,surprise,The “State Church” wants to abolish the bishop's right hand - and annoys many fellow Catholics
«Männer haben weniger Wahlfreiheit als Frauen»,Vertrauen,love,"""Men have less freedom of choice than women"""
Nationalrat sagt Nein zu CO2-Abgabe auf Flugtickets,Antizipation,enthusiasm,National Council says no to CO2 tax on flight tickets
Kein Ende der Negativzinsen,Angst,worry,No end to negative interest rates
«Die lebenslange Verwahrung ist gestorben»,Antizipation,enthusiasm,"""The lifelong custody has died"""
"Europa darf nur Risiken eingehen, die dem Frieden dienen",Antizipation,enthusiasm,Europe may only take risks that serve peace
Nun hat die AHV für kurze Zeit wieder Luft – macht die Politik trotzdem vorwärts?,Unklar,neutral,Now the AHV has air again for a short time - does politics still go forward?
Angestellte von Lidl Schweiz erhalten 100 Franken mehr Mindestlohn,Freude,happiness,Lidl Switzerland employees receive 100 francs more minimum wages
Schweizer Datenschützer fordern mehr Mittel für Datenschutz,Antizipation,enthusiasm,Swiss data protectionists are calling for more funds for data protection
«Die SVP war zu stark von ‹Top 5› beeinflusst» – Parteistrategen analysieren das schlechte Wahlresultat,Überraschung,surprise,"""The SVP was too strongly influenced by"" Top 5 """" - party strategists analyze the bad election result"
Exodus von EU-Bürgern,Antizipation,enthusiasm,Exodus of EU citizens
Migros Kulturprozent geht neue Wege in der Literaturförderung,Vertrauen,love,Migros Culture Percentage is breaking new ground in the promotion of literature
Economiesuisse warnt vor Überregulierung,Antizipation,enthusiasm,Economiesuisse warns of over -regulation
Nach 1945 steht die Schweiz vor einer heiklen Frage: Wie weiter mit Deutschland?,Antizipation,enthusiasm,"After 1945, Switzerland faces a delicate question: How further with Germany?"
Frankreich rettet den Planeten noch nicht,Ärger,anger,France does not yet save the planet
Leben auf Öko-Pump: Globaler Ressourcenverbrauch ist zu hoch,Traurigkeit,sadness,Living on eco-pump: global resource consumption is too high
Geldspielgesetz kommt wohl vors Volk,Vertrauen,love,Consulting Act probably comes in front of the people
Bund muss Leistungssport mit zusätzlichen 15 Millionen fördern,Antizipation,enthusiasm,BUND has to promote competitive sports with an additional 15 million
Freizügigkeit für die ganze Welt,Überraschung,surprise,Free movement for the whole world
Spionagevorwürfe gegen Huawei: Europa muss die Trump-Brille ablegen,Antizipation,enthusiasm,Spy allegations against Huawei: Europe has to take the Trump glasses
Künstliche Intelligenz stellt uns vor viele Fragen – wie klingt zum Beispiel Musik in ihren Ohren?,Überraschung,surprise,"Artificial intelligence gives us many questions - how does music sound in your ears, for example?"
So kann die Schweiz von der Blockchain profitieren,Vertrauen,love,This is how Switzerland can benefit from the blockchain
Die Zukunft der Geschlechterbeziehungen,Unklar,neutral,The future of gender relationships
Wie man sich der Beobachtung durch Google entziehen kann,Überraschung,surprise,How to escape the observation by Google
Mit neuem Impfmix gegen die Grippeviren,Vertrauen,love,With a new vaccination mix against the flu viruses
Geht es in der Klimadebatte wirklich nur um Erkenntnis? Bekenntnisse eines Skeptikers,Vertrauen,love,Is the climate debate really just about knowledge?Confessions of a skeptic
Medizinische Grundversorgung im eigenen Land soll sichergestellt sein,Vertrauen,love,Basic medical care in your own country should be ensured
"Der Cannabis-Verkauf in Apotheken ist eine clevere Idee, um die Schweizer Drogenpolitik zu entstauben",Antizipation,enthusiasm,The cannabis sale in pharmacies is a clever idea to dust out Swiss drug policy
15 Jahre Google Schweiz: Die Wunder von einst werden heute als selbstverständlich wahrgenommen,Unklar,neutral,15 years of Google Switzerland: The miracles of yore are taken for granted today
"Herr Rösti, das schmeckt nach Niederlage",Ärger,anger,"Mr. Rösti, that tastes like defeat"
Die gestörte Wahrnehmung zu Zuwanderung und Sozialstaat,Antizipation,enthusiasm,The disturbed perception of immigration and welfare state
"Wer zu wenig Frauen hat, fliegt von der Börse",Unklar,neutral,Those who have too few women flies from the stock exchange
Jagd auf geschützte Wildtiere in der Schweiz künftig leichter,Antizipation,enthusiasm,Hunt for protected wild animals in Switzerland in the future easier
Travail.Suisse macht beim Vaterschaftsurlaub Druck auf Kommission,Antizipation,enthusiasm,Travail.suisse puts pressure on commission on paternity vacation
Das EU-Parlament unterstützt das Plastikgeschirr-Verbot,Antizipation,enthusiasm,The EU Parliament supports the plastic harness ban
Der Klimawandel beeinträchtigt die Gesundheit von Kindern tiefgreifend,Traurigkeit,sadness,Climate change affects the health of children profoundly
Auch Kalifornien erlässt ein Reiseverbot,Ärger,anger,California also issues a travel ban
Testosteron-geladene Männer können öfter und länger,Angst,worry,Testosterone-charged men can often and longer
Menschenrechtsrat will besser arbeiten,Antizipation,enthusiasm,Human Rights Council wants to work better
Google-Chef kassiert 100 Millionen Bonus,Überraschung,surprise,Google boss collects 100 million bonus
Schweiz darf Asylbewerber nicht mehr nach Ungarn zurückführen,Traurigkeit,sadness,Switzerland is no longer allowed to return asylum seekers to Hungary
Schärfere Regulierungen für Prostitution in Deutschland,Vertrauen,love,Sharper regulations for prostitution in Germany
Nationalrat will Zweck der Schuldenbremse gesetzlich absichern,Vertrauen,love,National Council wants to secure the purpose of the debt brake by law
Warum Klimaberichte wichtig sind,Traurigkeit,sadness,Why climate reports are important
Eigenes Landesspital oder regionale Kooperation?,Überraschung,surprise,Own state hospital or regional cooperation?
"Grossbritannien zeigt, wie ein Mindestlohn funktioniert – aber Wahlversprechen bedrohen den Erfolg",Unklar,neutral,Great Britain shows how a minimum wage works - but election promises threaten the success
Venezuelas Aussenminister kontert Vorwürfe aus Menschenrechtsrat,Traurigkeit,sadness,Venezuela's Foreign Minister counters allegations from Human Rights Council
Verwahrung von Solothurner Kathedralen-Brandstifter wird aufgehoben,Antizipation,enthusiasm,Solothurn cathedral brandyers are lifted
Ambivalente Transparenz im Hochschulsponsoring,Vertrauen,love,Ambivalent transparency in university sponsoring
Noch nie so viel CO2 in der Atmosphäre,Traurigkeit,sadness,Never so much CO2 in the atmosphere
Konzerne mit Familienaktionären besser als andere Firmen,Freude,happiness,Corporations better than other companies with family shareholders
Abgeordnete beschliessen verschärftes Abtreibungsrecht,Antizipation,enthusiasm,MPs decide on tightened right of abortion
SVP ergreift kein Zuwanderungs-Referendum,Unklar,neutral,SVP does not take any immigration referendum
Deutschland kritisiert Schweizer Informationspolitik zu Atommüll,Angst,worry,Germany criticizes Swiss information policy on nuclear waste
Dashcams und Drohnen: Selbstjustiz ist kein Mittel,Vertrauen,love,Dash cams and drones: Self -justice is not a means
Zuwanderung aus Süden statt Norden,Vertrauen,love,Immigration from the south instead of north
Der Ex-Hippie arbeitet jetzt fürs Pentagon,Antizipation,enthusiasm,The ex-hippie now works for the Pentagon
«Das ist verboten!»,Ärger,anger,"""That is forbidden!"""
Nationalrat für längere Ladenöffnungszeiten,Antizipation,enthusiasm,National Council for longer shop opening times
Für die SP-Männer wird die Luft an der Parteispitze dünner,Unklar,neutral,"For the SP men, the air on the party leadership becomes thinner"
Beim Strom bald Zustände wie in der Landwirtschaft?,Antizipation,enthusiasm,"In the event of electricity, conditions such as in agriculture?"
Dieser Mann hat einen Suizidversuch überlebt und plädiert heute fürs Leben,Freude,happiness,This man has survived a suicide attempt and advocates life today
Wieso Singapur trotz wirtschaftlichem Erfolg die Steuern erhöhen will,Antizipation,enthusiasm,Why Singapore wants to increase taxes despite economic success
Wien schützt sich selbst,Ärger,anger,Vienna protects itself
EU-Staaten sollen sich von Flüchtlingsverteilung freikaufen können,Vertrauen,love,EU countries should be able to buy themselves from refugee distribution
In dieser Firma gibt es eine «Happiness-Managerin»,Vertrauen,love,There is a “Happiness Manager” in this company
Uni Basel will Studenten das Fliegen verbieten,Überraschung,surprise,University of Basel wants to ban students to fly
Mit der AHV den Kapitalismus retten,Angst,worry,Save capitalism with the AHV
Glarus sagt klar Nein zu Ausländerstimmrecht,Antizipation,enthusiasm,Glarus clearly says no to the right to vote on foreigners
Frankreich will Gesichtserkennung einführen – weshalb sich das Land vor einer totalen Überwachung fürchtet,Angst,worry,France wants to introduce facial recognition - which is why the country is afraid of total surveillance
"Afrikaner, Europäer, Chinese – wer ist hier wer?",Überraschung,surprise,"Africans, Europeans, Chinese - who is here?"
Belgien will Abtreibungen liberalisieren,Überraschung,surprise,Belgium wants to liberalize abortions
Asylbewerber: Machtlos gegen Ehen von Minderjährigen,Ärger,anger,Asylum seekers: powerless against marriages of minors
"Wer Steuern zahlt, soll mitbestimmen können",Vertrauen,love,Anyone who pays taxes should be able to have a say in
"Progressive Fleischesser, konservative Vegetarier",Überraschung,surprise,"Progressive meat eaters, conservative vegetarians"
"Das Zürcher Stadion-Tram muss weg, fordern die «Ensemble»-Gegner",Antizipation,enthusiasm,"The Zurich stadium tram has to go, demand the ""Ensemble"" opponents"
Hat die Kirche einen Linksdrall?,Überraschung,surprise,Does the church have an left -wing drall?
IV-Bezüger dürfen nicht mehr observiert werden,Vertrauen,love,IV recipients are no longer allowed to be observed
Ausstoss der Treibhausgase sinkt zu langsam - Abgabenerhöhung droht,Ärger,anger,The greenhouse gas emissions drops too slowly - tax increase threatens
Mehr Frauen werden in Schweizer Geschäftsleitungen berufen,Vertrauen,love,More women are appointed in Swiss business management
SVP-Rückzug aus dem Bundesrat laut Brunner nicht im Vordergrund,Ärger,anger,"According to Brunner, SVP retreat from the Federal Council is not in the foreground"
Crash mit Ref härter bestraft als Arm-Bruch,Überraschung,surprise,Crash with Ref hardener punished as a broken arm
Influencer – wenn Freunde schöne Sachen zeigen,Antizipation,enthusiasm,Influencer - when friends show beautiful things
«Selbst schlechte Deutschkenntnisse rechtfertigen niemals den Gebrauch der Du-Form von der Polizei»,Ärger,anger,"""Even bad knowledge of German never justify the use of the DU form from the police"""
Australien will CO2-Emissionen nur bescheiden senken,Vertrauen,love,Australia only wants to humble CO2 emissions modest
Ein bilateraler Marschhalt oder: Das Ende der Schweizer Lebenslüge,Angst,worry,A bilateral marching or: the end of the Swiss lifts
"Mieten, kaufen, beten – Kirchen wechseln Besitzer",Überraschung,surprise,"Rent, buy, pray - church change owners"
Sex im Tausch gegen ein gutes Leben – ist das Prostitution?,Antizipation,enthusiasm,Sex in exchange for a good life - is prostitution?
St. Gallen beschliesst Verhüllungsverbot - mit Ausnahmen,Ärger,anger,St. Gallen decides on the ban on the veil - with exceptions
Ständerat will Casinos in touristischen Gebieten stärker entlasten,Antizipation,enthusiasm,Council of States wants to relieve casinos more in tourist areas
Stiefkind-Adoption ist bei Schwulen und Lesben gefragt,Antizipation,enthusiasm,Stiefkind adoption is required for gays and lesbians
Die Verwandlung der Utopie in Waffentechnologie,Antizipation,enthusiasm,The transformation of utopia into weapon technology
Die Film- und Medienförderungs-Initiative auf einen Blick,Unklar,neutral,The film and media promotion initiative at a glance
Werbung als Nährstoff und Störfaktor,Unklar,neutral,Advertising as a nutrient and disruptive factor
Als die Winterthurer Firma Sulzer ein «Bombengeschäft» mit der Militärjunta abwickelte,Traurigkeit,sadness,"When the Winterthur company Sulzer completed a ""bomb business"" with the military junta"
"Keine Rechnung, keine Subventionen!",Ekel,hate,"No bill, no subsidies!"
Kanada will CO2-Ausstoss durch Mindestpreis senken,Antizipation,enthusiasm,Canada wants to reduce CO2 emissions through the minimum price
"Millionen Impfdosen werden auf dem Weg in abgelegene Regionen wirkungslos, weil die Kühlkette unterbrochen wird. Diese ETH-Forscher haben die Lösung",Freude,happiness,Millions of vaccine cans become ineffective on the way to remote regions because the cold chain is interrupted.These ETH researchers have the solution
Frauenquoten: der Siegeszug eines Denkfehlers,Unklar,neutral,Women's quotas: the triumphal march of a mistake
Freie Öffnungszeiten für alle!,Antizipation,enthusiasm,Free opening times for everyone!
Big Brother Büpf spaltet die SVP,Antizipation,enthusiasm,Big Brother Büpf divides the SVP
Jetzt gibts die Visite bei Dr. Google,Vertrauen,love,Now there is the visit to Dr.Google
Bundesrat will trotz Überschüssen die Schuldenbremse nicht lockern,Antizipation,enthusiasm,"Despite surpluses, Federal Council does not want to loosen the debt brake"
Der Zürcher Platzspitz bleibt weiterhin ab 23 Uhr geschlossen,Überraschung,surprise,The Zürcher Platzspitz remains closed from 11 p.m.
Kanadische Regierung will Gesetz für Legalisierung von Marihuana,Vertrauen,love,Canadian government wants law for legalization of marijuana
Digitalisierung und Schule: Es braucht pragmatische Antworten statt Visionen,Antizipation,enthusiasm,Digitization and school: Pragmatic answers are needed instead of visions
Wenn Verbrecher sterben wollen,Traurigkeit,sadness,When criminals want to die
Das war Blochers Geschoss,Antizipation,enthusiasm,That was Blocher's floor
Staatlich anerkannter Islam,Antizipation,enthusiasm,State -recognized Islam
Venezuelas Regierung hebt Mindestlohn an,Traurigkeit,sadness,Venezuela's government lifts minimum wages
"Gesichtserkennung, DNA-Profil-Gesetz und Terrorismus: Der Schweizer Datenschutzbeauftragte benennt die aktuellen Herausforderungen",Angst,worry,"Face recognition, DNA profile law and terrorism: The Swiss data protection officer names the current challenges"
Der Online-Händler Amazon startet mit der Einführung eines Mindestlohns für seine Lagermitarbeiter eine Charmeoffensive,Überraschung,surprise,The online retailer Amazon starts a charm offensive with the introduction of a minimum wage for its warehouses
Zermatt treibt Verbotswahn auf die Spitze,Überraschung,surprise,Zermatt drives a delusion of ban on the top
Die EU will mit zwei Arten von Zentren die Erfassung von Migranten verbessern – doch viele Fragen bleiben ungeklärt,Unklar,neutral,The EU wants to improve the recording of migrants with two types of centers - but many questions remain unclear
Verhärtete Fronten im Streit um zu teure Medikamente,Ärger,anger,Harded fronts in the dispute over too expensive medication
Tierschützer wollen Jagd verbieten,Antizipation,enthusiasm,Animal rights activists want to ban hunt
Schulen sollen Banngebiet werden,Ärger,anger,Schools should become a ban area
In dieser Firma gibt es eine «Happiness-Managerin»,Antizipation,enthusiasm,There is a “Happiness Manager” in this company
Strafe gegen Sexisten-Rapper verschärft,Ärger,anger,Punishment against sexists rappers tightened
Auch Zürcher Opernhaus in Sorge um Starregisseur Serebrennikow,Unklar,neutral,Zurich opera house also concerned about star director Serebrennikov
Wolf reisst zwölf Schafe und vier Geissen,Traurigkeit,sadness,Wolf tears twelve sheep and four Geissen
Die Bewohner der Zürcher City wollen sich von den Partygästen und ihrem Lärm nicht vertreiben lassen,Antizipation,enthusiasm,The residents of the Zurich City do not want to be passed away by the party guests and their noise
Das Google-Auto ist zu gefährlich,Freude,happiness,The Google car is too dangerous
"Talente – begehrt, gefördert und mobil",Vertrauen,love,"Talents - coveted, encouraged and mobile"
"Wer viele Stunden arbeitet, ist nicht unbedingt auch fleissig",Unklar,neutral,"If you work for many hours, you are not necessarily hardworking"
